Station;SurveyID;KPPID;SurveyName;SurveyName1;Latitude;Longitude;Trail;HabitatID;Habitat;BiomeID;Biome;Elevation;DisturbanceIndex;LivestockIndex;MSAVI2;Nights;NightsPool;SmallPreyIndex;PreyIndex
81;1;ssu101;Koup;KoupSouth;-33.02348;21.51387;off-trail;1;plain;1;NamaKaroo;507;0;4.26;0.1885;48;8;7.26;56.5
82;1;ssu103;Koup;KoupSouth;-33.05929;21.55719;off-trail;1;plain;1;NamaKaroo;483;0;4.92;0.1959;61;10;4.84;45.2
83;1;ssu104;Koup;KoupSouth;-33.05922;21.57846;off-trail;1;plain;1;NamaKaroo;486;0;0;0.1905;56;9;0;0
84;1;ssu105;Koup;KoupSouth;-33.07772;21.40711;off-trail;1;plain;1;NamaKaroo;570;0;67.24;0.1831;58;9;2.42;0
85;1;ssu114;Koup;KoupSouth;-33.09562;21.45022;off-trail;2;mountain;1;NamaKaroo;618;0;13.33;0.1869;62;10;31.46;90.4
86;1;ssu117;Koup;KoupSouth;-33.00543;21.42802;trail;2;mountain;1;NamaKaroo;641;6.896551724;41.38;0.193;58;9;4.84;56.5
87;1;ssu118;Koup;KoupSouth;-33.00579;21.44988;off-trail;2;mountain;1;NamaKaroo;610;0;13.79;0.1927;58;9;0;0
88;2;ssu001;Koup;KoupNorth;-32.89838;21.17122;trail;2;mountain;1;NamaKaroo;1136;2.197802198;164.84;0.1664;111;18;2.42;0
89;2;ssu002;Koup;KoupNorth;-32.89799;21.21368;off-trail;2;mountain;1;NamaKaroo;918;1.098901099;46.15;0.162;91;15;4.84;114.8
90;2;ssu003;Koup;KoupNorth;-32.89791;21.23571;off-trail;2;mountain;1;NamaKaroo;871;0;21.98;0.1778;91;15;0;103.5
91;2;ssu005;Koup;KoupNorth;-32.95181;21.3639;off-trail;1;plain;1;NamaKaroo;644;0;0;0.2141;9;1;7.26;11.3
92;2;ssu006;Koup;KoupNorth;-32.95188;21.3851;off-trail;1;plain;1;NamaKaroo;623;0;0;0.1963;86;14;43.56;177
93;2;ssu007;Koup;KoupNorth;-32.95173;21.4067;off-trail;1;plain;1;NamaKaroo;597;0;5.56;0.1952;90;15;24.2;90.4
94;2;ssu008;Koup;KoupNorth;-33.00606;21.2355;off-trail;1;plain;1;NamaKaroo;789;0;2.27;0.18;88;14;4.84;43.3
95;2;ssu009;Koup;KoupNorth;-33.00666;21.2569;trail;1;plain;1;NamaKaroo;779;0;20.45;0.1768;88;14;2.42;338.9
96;2;ssu010;Koup;KoupNorth;-32.89738;21.19225;off-trail;2;mountain;1;NamaKaroo;1177;0;0;0.1645;91;15;12.1;20.7
